name,x,y,z
1,0.0,0.0,0.0
2,2.0,0.0,0.0
3,4.0,0.0,0.0
4,6.0,0.0,0.0
5,8.0,0.0,0.0
6,10.0,0.0,0.0
7,12.0,0.0,0.0
8,14.0,0.0,0.0
9,16.0,0.0,0.0
10,18.0,0.0,0.0
11,20.0,0.0,0.0
12,22.0,0.0,0.0
13,24.0,0.0,0.0
14,26.0,0.0,0.0
15,28.0,0.0,0.0
16,0.0,-2.0,0.0
17,2.0,-2.0,0.0
18,4.0,-2.0,0.0
19,6.0,-2.0,0.0
20,8.0,-2.0,0.0
21,10.0,-2.0,0.0
22,12.0,-2.0,0.0
23,14.0,-2.0,0.0
24,16.0,-2.0,0.0
25,18.0,-2.0,0.0
26,20.0,-2.0,0.0
27,22.0,-2.0,0.0
28,24.0,-2.0,0.0
29,26.0,-2.0,0.0
30,28.0,-2.0,0.0
31,0.0,-4.0,0.0
32,2.0,-4.0,0.0
33,4.0,-4.0,0.0
34,6.0,-4.0,0.0
35,8.0,-4.0,0.0
36,10.0,-4.0,0.0
37,12.0,-4.0,0.0
38,14.0,-4.0,0.0
39,16.0,-4.0,0.0
40,18.0,-4.0,0.0
41,20.0,-4.0,0.0
42,22.0,-4.0,0.0
43,24.0,-4.0,0.0
44,26.0,-4.0,0.0
45,28.0,-4.0,0.0
46,0.0,-6.0,0.0
47,2.0,-6.0,0.0
48,4.0,-6.0,0.0
49,6.0,-6.0,0.0
50,8.0,-6.0,0.0
51,10.0,-6.0,0.0
52,12.0,-6.0,0.0
53,14.0,-6.0,0.0
54,16.0,-6.0,0.0
55,18.0,-6.0,0.0
56,20.0,-6.0,0.0
57,22.0,-6.0,0.0
58,24.0,-6.0,0.0
59,26.0,-6.0,0.0
60,28.0,-6.0,0.0
61,0.0,-8.0,0.0
62,2.0,-8.0,0.0
63,4.0,-8.0,0.0
64,6.0,-8.0,0.0
65,8.0,-8.0,0.0
66,10.0,-8.0,0.0
67,12.0,-8.0,0.0
68,14.0,-8.0,0.0
69,16.0,-8.0,0.0
70,18.0,-8.0,0.0
71,20.0,-8.0,0.0
72,22.0,-8.0,0.0
73,24.0,-8.0,0.0
74,26.0,-8.0,0.0
75,28.0,-8.0,0.0
76,0.0,-10.0,0.0
77,2.0,-10.0,0.0
78,4.0,-10.0,0.0
79,6.0,-10.0,0.0
80,8.0,-10.0,0.0
81,10.0,-10.0,0.0
82,12.0,-10.0,0.0
83,14.0,-10.0,0.0
84,16.0,-10.0,0.0
85,18.0,-10.0,0.0
86,20.0,-10.0,0.0
87,22.0,-10.0,0.0
88,24.0,-10.0,0.0
89,26.0,-10.0,0.0
90,28.0,-10.0,0.0
91,0.0,-12.0,0.0
92,2.0,-12.0,0.0
93,4.0,-12.0,0.0
94,6.0,-12.0,0.0
95,8.0,-12.0,0.0
96,10.0,-12.0,0.0
97,12.0,-12.0,0.0
98,14.0,-12.0,0.0
99,16.0,-12.0,0.0
100,18.0,-12.0,0.0
101,20.0,-12.0,0.0
102,22.0,-12.0,0.0
103,24.0,-12.0,0.0
104,26.0,-12.0,0.0
105,28.0,-12.0,0.0
106,0.0,-14.0,0.0
107,2.0,-14.0,0.0
108,4.0,-14.0,0.0
109,6.0,-14.0,0.0
110,8.0,-14.0,0.0
111,10.0,-14.0,0.0
112,12.0,-14.0,0.0
113,14.0,-14.0,0.0
114,16.0,-14.0,0.0
115,18.0,-14.0,0.0
116,20.0,-14.0,0.0
117,22.0,-14.0,0.0
118,24.0,-14.0,0.0
119,26.0,-14.0,0.0
120,28.0,-14.0,0.0
121,0.0,-16.0,0.0
122,2.0,-16.0,0.0
123,4.0,-16.0,0.0
124,6.0,-16.0,0.0
125,8.0,-16.0,0.0
126,10.0,-16.0,0.0
127,12.0,-16.0,0.0
128,14.0,-16.0,0.0
129,16.0,-16.0,0.0
130,18.0,-16.0,0.0
131,20.0,-16.0,0.0
132,22.0,-16.0,0.0
133,24.0,-16.0,0.0
134,26.0,-16.0,0.0
135,28.0,-16.0,0.0
136,0.0,-18.0,0.0
137,2.0,-18.0,0.0
138,4.0,-18.0,0.0
139,6.0,-18.0,0.0
140,8.0,-18.0,0.0
141,10.0,-18.0,0.0
142,12.0,-18.0,0.0
143,14.0,-18.0,0.0
144,16.0,-18.0,0.0
145,18.0,-18.0,0.0
146,20.0,-18.0,0.0
147,22.0,-18.0,0.0
148,24.0,-18.0,0.0
149,26.0,-18.0,0.0
150,28.0,-18.0,0.0
